id,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,gamma_25Sites,theta_25Sites,d_theta_winsorized_2017,pasture_area_2017,amazonBiomeArea_ha_25Sites,siteArea_ha_25Sites,forestArea_1995_ha_25Sites,z_1995_25Sites,zbar_1995_25Sites,forestArea_2017_ha_25Sites,forestArea_2008_ha_25Sites,z_2008_25Sites,zbar_2008_25Sites,gamma2017_25Sites,alpha_25Sites,kappa_25Sites,zeta_25Sites,zeta_alt_25Sites,x_1995_25Sites,x_2008_25Sites,theta2017_25Sites,p_2017_25Sites
11,311951.50005318614,986453.6577257286,165688897.1053891,245.64620768170738,0.8859571926516556,0,276609.80681725097,1809786.991361972,10852260.1875,818121.2084449446,207134.7440107494,1025255.952455694,674502.1576725424,709672.9214161767,287596.20914255193,997269.1305587287,245.64620768170738,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,200968372.27847627,174328461.84028214,0.8859571926516556,44.758760469833035
12,491859.8040786723,23983732.116432596,20413470685.802605,868.9588643416707,1.142915405677457,0,271377.7053237279,24100007.702127814,28754954.75,23786450.497132678,219460.17398651215,24005910.67111919,23491872.312353924,23617346.989119045,377636.11955374095,23994983.108672787,868.9588643416707,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,20669447010.70778,20522503018.428062,1.142915405677457,44.758760469833035
13,548889.5382631884,28379164.514608372,19254021794.69753,691.8372819191621,1.8854199734219577,0,386380.04081531276,28754954.75,28754954.75,28226007.805622876,168585.939776721,28394593.745399598,27830274.976345185,27993979.31143451,402779.64507484576,28396758.956509355,691.8372819191621,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,19527804519.671185,19367278556.92411,1.8854199734219577,44.758760469833035
14,1193672.49308202,27505450.386311423,13491458600.93418,512.7535910222862,1.8305335516270846,0,702848.1847108413,28754954.75,28754954.75,27248235.034786534,305843.8651197875,27554078.899906322,26311777.893229403,26674279.662519105,861401.095880852,27535680.758399956,512.7535910222862,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,13971630363.106064,13677332684.889406,1.8305335516270846,44.758760469833035
15,1416617.9765703264,28080696.686894644,10957642919.787834,410.9514916615154,1.1007835835539896,0,1089039.1290039008,28754954.75,28754954.75,27899301.175843164,211569.85997259704,28110871.03581576,26664078.710324317,27145662.49977854,954698.3347774638,28100360.834556002,410.9514916615154,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,11465259434.526619,11155550496.424051,1.1007835835539896,44.758760469833035
16,6055143.679170087,27530403.93708182,7462773728.54893,347.5056245616189,1.5933521057248212,0,5475641.611114884,28143780.312925834,28754954.75,25251401.659440555,2356742.634819045,27608144.2942596,21475260.257911734,22082109.75693589,5493267.187292004,27575376.944227897,347.5056245616189,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,8775004104.72019,7673657342.722226,1.5933521057248212,44.758760469833035
17,6746442.01524306,9828455.436713789,878870643.921837,285.1611994286651,2.043505794769294,0,6215860.479785813,10140852.050391562,28754954.75,4594479.833600971,5258155.062114388,9852634.89571536,3082013.4214707282,3172114.699240029,6698570.941434498,9870685.640674528,285.1611994286651,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,1310167380.1004667,904564032.3605862,2.043505794769294,44.758760469833035
18,84410.49024825825,4377913.526451412,3265269012.9862204,760.5139638782637,1.6805802580208198,0,206668.6757832691,4383962.47035026,28369709.75,4342512.172917245,37365.13853599341,4379877.311453238,4293503.036203153,4320279.216698056,56728.60227016053,4377007.818968217,760.5139638782637,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3302541145.814906,3285632672.151919,1.6805802580208198,44.758760469833035
19,2448200.526316281,8346530.631940743,3393615994.8462825,575.3519952384892,1.69500009949362,0,1431127.470854743,8471226.918214634,28369709.75,7421231.915728596,940812.1475709289,8362044.063299525,5898330.1056244625,6318068.886761393,2023745.4027647004,8341814.289526094,575.3519952384892,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4269820589.842003,3635113540.0523877,1.69500009949362,44.758760469833035
20,7385903.415532125,21218696.154194802,6723248400.450798,486.03695056163957,1.9055026340152257,0,5902895.002494685,22304363.301273398,28369709.75,17326064.537406806,3932110.3189246813,21258174.856331486,13832792.738662675,14301889.552888896,6926752.928338043,21228642.48122694,486.03695056163957,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,8421107572.995368,6951246785.55549,1.9055026340152257,44.758760469833035
