id,z_2017_81Sites,zbar_2017_81Sites,x_2017_81Sites,gamma_81Sites,theta_81Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,sitearea_ha_81Sites,amazonbiomearea_ha_81Sites,forestarea_1995_ha_81Sites,otherarea_1995_ha_81Sites,z_1995_81Sites,zbar_1995_81Sites,forestArea_2017_ha_81Sites,otherarea_2017_ha_81Sites,gamma2010_81Sites,gamma2017_81Sites,gamma2018_81Sites,gammaSD_81Sites,alpha_81Sites,kappa_81Sites,zeta_81Sites,zeta_alt_81Sites,theta2017_81Sites,theta2006_81Sites,thetaSD_81Sites,p_2017_81Sites
27,15396.529,2026488.6,1247342208,620.2312,0.42365772,0,0,559.33569,7229617,2112156,2017197.1,81857.039,14247.408,2031444.5,2011092.1,86805.93,593.35779,634.13147,633.20447,19.00616922,0.045007415,2.0942152,0.00016616,0.00020579,0.048650593,0.79866481,0.375007109,44.758762
28,30235.674,7016105,4091305728,585.65448,0.55396694,0,0,3167.4717,7229617,7229617,7012341,198378.75,18897.252,7031238,6985869.5,213511.83,570.38489,596.7652,589.81329,11.16399239,0.045007415,2.0942152,0.00016616,0.00020579,0.083407141,1.0245267,0.47055978,44.758762
29,36685.855,6865173,3734259712,546.86487,0.67129707,0,0,2079.3406,7229617,7229617,6853117.5,344753.97,31745.543,6884863,6828487,364444,538.46906,551.79803,550.32745,5.966996827,0.045007415,2.0942152,0.00016616,0.00020579,0.22019452,1.1223997,0.45110259,44.758762
30,29872.381,6769857,3508754688,520.58795,0.82188183,0,0,4071.6233,7229617,7229617,6801011.5,401050.09,27555.682,6828567,6739984.5,459760.16,512.09857,525.9693,523.69592,6.074207167,0.045007415,2.0942152,0.00016616,0.00020579,0.50551641,1.1382473,0.316365445,44.758762
31,293433.56,6473803,3052927744,493.97171,1.4919412,0,0,100494.74,7229617,7229617,6441312,654441.69,133863.23,6575175.5,6180369.5,755813.94,492.88422,495.51773,493.51321,1.122947697,0.045007415,2.0942152,0.00016616,0.00020579,1.0030617,1.9808209,0.4888796,44.758762
32,286460.19,6272576.5,3425425408,572.22833,1.4436748,0,0,169968.27,7229617,7229617,6059007.5,965773.75,204835.63,6263843,5986116.5,957040.44,563.81091,577.12085,575.7533,5.978158159,0.045007415,2.0942152,0.00016616,0.00020579,1.055631,1.8317186,0.3880438,44.758762
33,762008.19,6187918.5,3198981888,589.57513,1.9181731,0,0,326979.13,7229617,7229617,5755457,993509.75,480649.69,6236107,5425910.5,1041698.2,581.65723,594.11438,592.9538,5.618817845,0.045007415,2.0942152,0.00016616,0.00020579,1.602336,2.23401,0.315837,44.758762
34,1048023.9,6783239,3797108480,662.06903,2.2042797,0,0,823988.19,7229617,7229617,6453679.5,384937.09,391000.63,6844680,5735215,446377.91,640.40472,672.61511,673.18732,15.32077569,0.045007415,2.0942152,0.00016616,0.00020579,1.9235642,2.4849951,0.28071545,44.758762
35,1466555,6917198.5,3540921600,649.63367,1.9839846,0,0,991155.63,7229617,7229617,6471656.5,270194.28,487766.34,6959422.5,5450643.5,312418.72,633.83612,659.06195,656.00299,11.2401555,0.045007415,2.0942152,0.00016616,0.00020579,1.68862,2.2793493,0.29536465,44.758762
36,2505504.3,6847818,2301863168,530.10059,1.8295459,0,0,1125650.5,7229617,7229617,5362640.5,363791.06,1503184.5,6865825,4342314,381797.66,544.98206,521.73224,523.58746,10.55001254,0.045007415,2.0942152,0.00016616,0.00020579,1.7677348,1.8913568,0.061811,44.758762
37,3630546,6911246.5,1586846208,483.69131,1.7023467,0,0,1577402.8,7229617,7219492.5,4543026.5,223365.69,2453165.5,6996192,3280700.3,308311.59,508.21759,467.11423,475.74216,17.69676974,0.045007415,2.0942152,0.00016616,0.00020579,1.8540671,1.5506262,0.15172045,44.758762
38,300993.44,903477.31,128401280,213.11986,1.0360174,0,0,278234.84,5422213,1654227.5,748664.56,714105.56,192886.83,941551.38,602483.88,752188,224.11522,208.48344,206.76093,7.806628011,0.045007415,2.0942152,0.00016616,0.00020579,1.4412354,0.63079929,0.405218055,44.758762
39,1677.5004,3923651,2945821440,751.10687,0.009565399,1,0,22.541004,7206558.5,3934193.8,3923174.3,11301.342,1236.0616,3924410.3,3921973.5,12059.697,716.01453,767.73083,769.57532,24.82547091,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
40,22228.959,7153920,4934812672,691.95551,1.1525621,0,0,4583.0103,7206558.5,7201097,7143293.5,39171.535,18756.871,7162050,7131691,47300.008,664.94806,706.81787,704.10052,19.12932625,0.045007415,2.0942152,0.00016616,0.00020579,0.83886307,1.4662611,0.313699015,44.758762
41,13781.18,7137828.5,4470616576,627.53888,0.88001627,0,0,4167.8379,7206558.5,7206558.5,7129561,62534.367,14462.98,7144024,7124047.5,68729.781,607.32477,641.75903,633.5329,14.68276978,0.045007415,2.0942152,0.00016616,0.00020579,0.43068448,1.3293481,0.44933181,44.758762
42,9385.082,7128421,4284554240,601.84473,1.0726812,0,0,6552.5474,7206558.5,7206558.5,7121516,79032.297,6010.4175,7127526,7119036,78137.523,587.97205,609.82758,607.73456,9.846610956,0.045007415,2.0942152,0.00016616,0.00020579,0.87101877,1.2743435,0.201662365,44.758762
43,33392.672,6963686,3815874816,550.60797,1.3692455,0,0,26906.021,7206558.5,7206558.5,6977527,211102.52,17928.898,6995456,6930293.5,242872.44,540.19885,556.38782,555.23724,7.375332443,0.045007415,2.0942152,0.00016616,0.00020579,0.94618779,1.7923032,0.423057705,44.758762
44,94994.453,6934925.5,3758022144,549.42395,1.2616136,0,0,80094.297,7206558.5,7206558.5,6912858.5,264514.66,29185.502,6942044,6839931,271633.19,537.1319,556.4458,554.69427,8.721183856,0.045007415,2.0942152,0.00016616,0.00020579,0.85261124,1.670616,0.40900238,44.758762
