id,z_2017_1055Sites,zbar_2017_1055Sites,x_2017_1055Sites,gamma_1055Sites,theta_1055Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,siteArea_ha_1055Sites,amazonBiomeArea_ha_1055Sites,forestArea_2017_ha_1055Sites,otherArea_2017_ha_1055Sites,forestArea_1995_ha_1055Sites,otherArea_1995_ha_1055Sites,z_1995_1055Sites,zbar_1995_1055Sites,gamma2010_1055Sites,gamma2017_1055Sites,gamma2018_1055Sites,gammaSD_1055Sites,alpha_1055Sites,kappa_1055Sites,zeta_1055Sites,zeta_alt_1055Sites,theta2017_1055Sites,theta2006_1055Sites,thetaSD_1055Sites,p_2017_1055Sites
62,77.55435935,452141.0065,265443199.4,587.1812865,0.351190578,0,0,8588.59108,452325.9688,452325.9688,452063.4521,184.9510596,452045.8737,137.1497008,142.9573419,452188.8311,540.2012459,611.0733537,610.2692601,33.22152724,0.045007414,2.094215255,0.00016616,0.00020579,0.181482477,0.520898678,0.169708101,44.75876047
63,194.8687242,451339.3914,262945689.9,582.8413662,0.304363524,0,0,10490.51125,452325.9688,452325.9688,451144.5227,986.5843712,451577.3232,564.0560418,184.5936719,451761.9169,533.9325069,609.1181181,605.4734735,34.61577911,0.045007414,2.094215255,0.00016616,0.00020579,0.161969878,0.44675717,0.142393646,44.75876047
64,26295.4845,437111.6369,204987999.4,498.9774579,0.255921571,0,0,7697.744356,452325.9688,452325.9688,410816.1524,15214.32508,432944.1705,15047.86785,4333.930397,437278.1009,486.0555556,507.7712971,503.1055209,9.333596534,0.045007414,2.094215255,0.00016616,0.00020579,0.146909522,0.36493362,0.109012049,44.75876047
65,64845.72222,415084.1638,159020505.4,454.0349844,0.171313044,0,0,14505.71898,452325.9688,452325.9688,350238.4416,37241.81839,402029.5431,33593.01066,16703.40319,418732.9463,475.1252784,444.5528455,442.4268293,14.9383257,0.045007414,2.094215255,0.00016616,0.00020579,0.151145379,0.191480709,0.020167665,44.75876047
66,23622.27096,418905.1344,195093929.3,493.5552421,0.127187384,0,0,33724.68676,452325.9688,452325.9688,395282.8634,33420.83607,415233.9914,33156.81303,3935.169003,419169.1604,486.3759423,498.9458088,495.3439751,5.285203254,0.045007414,2.094215255,0.00016616,0.00020579,0.105183516,0.149191253,0.022003868,44.75876047
67,1033.938995,207324.5073,115147364,558.1804585,0.011550979,1,0,25116.0092,452325.9688,261153.4808,206290.5683,54087.3737,203266.2216,55710.74321,2431.079026,205697.3006,532.8153061,572.029871,569.6961982,17.96115664,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.008469508,0.00308147,44.75876047
68,2.323056814,25865.71807,14624821.18,565.4640921,0.686169374,0,0,128.5317312,452325.9688,25712.84462,25863.39502,2.948495242,25793.4353,11.97267725,63.25862384,25856.69392,509.1747967,597.4430894,589.7743902,39.92547907,0.045007414,2.094215255,0.00016616,0.00020579,0.784390657,0.587948092,0.098221283,44.75876047
69,16.61879129,203473.6819,127865327.9,628.4634503,0.686169374,0,0,978.0062837,452325.9688,203199.2107,203457.0631,3.841978711,203395.8622,32.79084146,48.78419453,203444.6464,565.5254386,660.472807,659.3921053,44.50608173,0.045007414,2.094215255,0.00016616,0.00020579,0.784390657,0.587948092,0.098221283,44.75876047
70,252.0516662,210710.1015,131432953.6,624.509035,0.686169374,0,0,1025.314999,452325.9688,211086.9763,210458.0499,592.736886,210508.1699,613.376377,181.1984368,210689.3683,569.3895617,652.3114187,651.8261246,38.97585687,0.045007414,2.094215255,0.00016616,0.00020579,0.784390657,0.587948092,0.098221283,44.75876047
71,172.7996827,118270.2141,72433223.2,613.3345386,1.205784077,0,0,2694.250004,452325.9688,258617.2581,118097.4144,140638.0395,118469.9982,140114.3678,323.2622965,118793.2605,570.9625749,627.9854855,641.0555556,30.43292262,0.045007414,2.094215255,0.00016616,0.00020579,1.098537652,1.313030503,0.107246425,44.75876047
72,283.2342239,309251.0551,181249514.8,586.6291005,1.38499737,0,0,9133.850221,452325.9688,452325.9688,308967.8209,143074.9254,308284.1238,143692.3261,349.5307084,308633.6545,549.9271084,606.3578609,603.6023321,25.97659716,0.045007414,2.094215255,0.00016616,0.00020579,1.316832078,1.453162662,0.068165292,44.75876047
73,129.6444421,451168.9124,296909988.2,658.2796872,1.209653036,0,0,3028.280249,452325.9688,452325.9688,451039.268,1157.060955,450892.1972,931.8138615,501.958954,451394.1562,608.9127114,687.5030005,678.4233497,35.10397642,0.045007414,2.094215255,0.00016616,0.00020579,1.405539559,1.013766514,0.195886522,44.75876047
74,17.95901629,409794.2901,271767421.1,663.2091716,1.304246969,0,0,635.5304994,452325.9688,410208.6733,409776.331,610.2491431,408607.0982,951.3811369,845.8607415,409452.9589,614.8097484,690.1188232,684.6989432,34.29501321,0.045007414,2.094215255,0.00016616,0.00020579,1.51974889,1.088745047,0.215501922,44.75876047
75,11.52593613,451004.8528,311312136.2,690.2810256,1.581344756,0,0,236.0278365,452325.9688,451447.9387,450993.3269,458.4463389,450642.1095,516.7014702,304.49913,450946.6086,635.6025641,720.4605128,714.78,38.73299776,0.045007414,2.094215255,0.00016616,0.00020579,1.787652863,1.375036649,0.206308107,44.75876047
